"ID","NAME","PRECISE_NAME","LAYER","STATE","COUNTRY"
260110,"asbury","asbury","micro","NJ","US"
232656,"asbury","asbury","micro","NY","US"
260396,"asbury","asbury","micro","MO","US"
264133,"asbury downs","asbury downs","micro","NC","US"
303790,"asbury estates","asbury estates","micro","OH","US"
197428,"asbury lake","asbury lake","micro","FL","US"
190808,"asbury park","asbury park","micro","NJ","US"
596,"ascension","ascension county","county","LA","US"
182801,"ascot","ascot","micro","CA","US"
339362,"ascot glen - oak pointe","ascot glen - oak pointe","micro","GA","US"
353007,"aserdaten - camp columbus","aserdaten - camp columbus","micro","NJ","US"
165026,"asert","asert","micro","OR","US"
239923,"ash","ash","micro","NC","US"
303873,"ash brook estates","ash brook estates","micro","OH","US"
187459,"ash creek estates","ash creek estates","micro","AZ","US"
191283,"ash fork","ash fork","micro","AZ","US"
191256,"ash fork","ash fork ccd","macro","AZ","US"
238762,"ash grove","ash grove","micro","MO","US"
346174,"ash grove","ash grove","micro","IL","US"
238693,"ash grove","greater ash grove","micro","MO","US"
305711,"ash island","ash island","micro","ME","US"
303156,"ash ridge","ash ridge","micro","OH","US"
188243,"asharoken","asharoken","micro","NY","US"
172843,"ashaway","ashaway","micro","RI","US"
263738,"ashbrook - clawson village","ashbrook - clawson village","micro","NC","US"
182315,"ashburn","ashburn","micro","IL","US"
136391,"ashburn","ashburn","micro","VA","US"
128468,"ashburnham","ashburnham","macro","MA","US"
128526,"ashburnham","ashburnham","superm","MA","US"
128395,"ashburnham hill","ashburnham hill","micro","MA","US"
165262,"ashburton","ashburton","micro","MD","US"
132131,"ashby","ashby","micro","MA","US"
132254,"ashby","ashby","macro","MA","US"
132302,"ashby - lowell","ashby - lowell","superm","MA","US"
128348,"ashby state","ashby state","micro","MA","US"
164960,"ashcreek","ashcreek","micro","OR","US"
238710,"ashcroft estates","ashcroft estates","micro","MO","US"
955,"ashe","ashe county","county","NC","US"
264000,"ashe croft","ashe croft","micro","NC","US"
265155,"asheboro","asheboro","micro","NC","US"
294607,"ashebrook","ashebrook","micro","NC","US"
261772,"ashebrook park","ashebrook park","micro","NC","US"
339560,"ashebrooke","ashebrooke","micro","GA","US"
339785,"asheforde","asheforde","micro","GA","US"
312547,"ashely hall plantation","ashely hall plantation","micro","SC","US"
199503,"asherton","greater asherton","micro","TX","US"
199507,"asherton","asherton","micro","TX","US"
243375,"asheville","asheville","macro","NC","US"
257118,"ashewood","ashewood","micro","SC","US"
142505,"ashfield","ashfield","micro","MA","US"
142607,"ashfield","ashfield","macro","MA","US"
142634,"ashfield","ashfield","superm","MA","US"
163506,"ashford","ashford","micro","WA","US"
139146,"ashford","ashford","macro","CT","US"
139161,"ashford","ashford","superm","CT","US"
139143,"ashford","ashford","micro","CT","US"
340739,"ashford park","ashford park","micro","GA","US"
345158,"ashkum","ashkum","micro","IL","US"
345141,"ashkum","greater ashkum","micro","IL","US"
346791,"ashland","ashland","micro","GA","US"
354110,"ashland","greater ashland","micro","IL","US"
132283,"ashland","ashland","macro","MA","US"
260706,"ashland","ashland","micro","NJ","US"
2749,"ashland","ashland county","county","WI","US"
132132,"ashland","ashland","micro","MA","US"
